实习职位,实习薪资,工作地点,实习天数,实习月份
web前端开发实习生,100-150/天,合肥,5天/周,4个月
内容运营实习生,100-150/天,北京,5天/周,4个月
产品运营实习生,1-50/天,广州,3天/周,4个月
C/C++ 开发工程师实习,200-250/天,"杭州,上海,成都",4天/周,12个月
客户端开发工程师-iOS校招（实习）,250-300/天,"杭州,深圳",4天/周,3个月
测试工程师实习生,150-200/天,北京,4天/周,10个月
数据项目实习生-N,100-150/天,北京,5天/周,4个月
PHP软件开发实习生（后台）,100-150/天,成都,5天/周,9个月
Digital UE产品测试,150-200/天,上海,3天/周,4个月
产品运营专员（生物制剂）,150-200/天,北京,3天/周,4个月
电气工程师,100-150/天,北京,3天/周,4个月
汽车座椅实习生（德语）,面议,上海,3天/周,4个月
新媒体营销编辑,50-100/天,北京,5天/周,4个月
企业宣传文案策划,100-150/天,成都,5天/周,4个月
游戏运营实习生,面议,广州,6天/周,4个月
地图用户评估,100-150/天,北京,5天/周,4个月
新媒体实习生,80-90/天,西安,5天/周,3个月
平面设计/插画设计,100-150/天,上海,5天/周,4个月
门店运营实习生,100-150/天,上海,5天/周,4个月
短视频运营实习生,100-150/天,北京,4天/周,4个月
新媒体运营实习生,100-150/天,北京,4天/周,4个月
新媒体运营助理,50-100/天,武汉,4天/周,10个月
互联网运营实习生,100-150/天,深圳,3天/周,4个月
新媒体实习编辑,50-100/天,成都,4天/周,9个月
市场实习生(023091),150-250/天,上海,4天/周,4个月
工程管理专业电子书编辑,100-150/天,北京,1天/周,4个月
eBay运营助理（跨境电商）,100-150/天,深圳,5天/周,11个月
自然语言处理实习生,100-150/天,北京,4天/周,3个月
室内设计,面议,广州,5天/周,4个月
亚马逊运营,100-150/天,武汉,5天/周,7个月
HR实习生,面议,北京,5天/周,4个月
课程运营实习生,100-150/天,杭州,5天/周,3个月
网络编辑实习生,100-101/天,北京,4天/周,4个月
社区新媒体运营实习生,面议,北京,4天/周,4个月
数据分析实习生,150-200/天,南京,5天/周,4个月
文字编辑实习生,100-150/天,北京,4天/周,12个月
飞控研发工程师,250-300/天,广州,5天/周,10个月
C++C开发工程师,300-400/天,杭州,5天/周,4个月
新媒体编辑,50-100/天,成都,3天/周,7个月
图案设计实习生,100-150/天,上海,5天/周,10个月
实习编辑,50-100/天,成都,5天/周,3个月
后端应用与交易API接口开发工程师,200-250/天,上海,5天/周,9个月
产品实习生,50-100/天,天津,3天/周,12个月
对日Java,50-100/天,大连,6天/周,4个月
赛事运营（技术）,50-100/天,广州,5天/周,4个月
前端工程师（实习,100-150/天,上海,3天/周,4个月
网页设计实习生,100-150/天,上海,3天/周,10个月
美陈/空间设计师,100-150/天,上海,3天/周,4个月
直播平台运营,100-150/天,北京,5天/周,4个月
文创产品设计师,100-150/天,宁波,5天/周,4个月
逆向分析实习生,100-150/天,北京,5天/周,4个月
项目管培实习生,300-400/天,武汉,5天/周,4个月
电商运营助理,200-250/天,北京,5天/周,4个月
制图实习生,100-150/天,武汉,4天/周,4个月
抖音运营实习生,100-150/天,武汉,4天/周,6个月
赴日Java软件开发工程师（实习,500-800/天,全国,4天/周,3个月
经纪师,300-400/天,北京,6天/周,10个月
运维实习生（桌面运维方向）,150-200/天,深圳,4天/周,4个月
邀约专员,200-250/天,郑州,5天/周,4个月
微信运营专员,150-200/天,上海,4天/周,4个月
驻场工程师,100-150/天,北京,4天/周,4个月
一堂渠道实习生,150-200/天,北京,3天/周,4个月
新媒体编辑实习生,100-150/天,北京,4天/周,10个月
内容运营实习生,100-150/天,杭州,4天/周,4个月
人事实习生,100-150/天,北京,5天/周,4个月
CRM咨询顾问,150-200/天,上海,3天/周,10个月
数据标注,150-200/天,上海,3天/周,4个月
内容运营实习生,100-150/天,北京,5天/周,4个月
c#开发实习生,150-200/天,无锡,5天/周,13个月
IT实习生,200-250/天,上海,3天/周,6个月
内容运营实习生,100-150/天,杭州,5天/周,4个月
政务运营实习生,面议,北京,5天/周,6个月
赛事运营（策划）,50-100/天,广州,5天/周,4个月
设计实习生,100-150/天,深圳,3天/周,4个月
Android研发工程师,40-50/天,杭州,5天/周,12个月
实习结构工程师,150-200/天,深圳,5天/周,7个月
设计实习生,100-150/天,上海,4天/周,6个月
留学文案编辑实习生,100-150/天,上海,3天/周,4个月
电商专员,150-200/天,保定,5天/周,4个月
游戏动效实习生,100-150/天,成都,5天/周,5个月
国际销售经理助理,50-100/天,宁波,5天/周,3个月
运营实习生,100-150/天,北京,5天/周,7个月
产品运营实习,100-150/天,无锡,5天/周,4个月
运维实习生,100-150/天,北京,4天/周,4个月
游戏测评工程师-梦幻西游,100-150/天,广州,5天/周,4个月
内容审核实习生,80-90/天,西安,5天/周,3个月
易项投资人端-运营实习生,150-200/天,天津,3天/周,4个月
设计实习生,50-100/天,广州,3天/周,4个月
java实习生,100-150/天,北京,5天/周,10个月
（苏州）软件工程实习生,100-150/天,苏州,2天/周,5个月
产品设计实习生,100-150/天,上海,3天/周,4个月
军事频道实习编辑,1-50/天,西安,5天/周,4个月
运营实习生,150-200/天,上海,5天/周,4个月
C#开发工程师,150-200/天,北京,5天/周,7个月
软件开发实习生,50-100/天,长沙,5天/周,4个月
运营助理-社群方向,100-150/天,北京,3天/周,6个月
ASO运营实习生,100-150/天,武汉,4天/周,7个月
运营实习生（供应链）,100-150/天,北京,4天/周,3个月
HR实习生（培训方向）,面议,北京,5天/周,4个月
内容编辑,100-150/天,北京,5天/周,7个月
新媒体编辑实习生,面议,长沙,5天/周,4个月
平面设计实习生,100-150/天,北京,4天/周,3个月
法律编辑实习生,100-150/天,北京,3天/周,4个月
审核实习生,100-150/天,北京,5天/周,11个月
机器学习助教,150-200/天,北京,5天/周,5个月
网页设计师,100-150/天,深圳,3天/周,4个月
平面/UI设计实习生,100-150/天,杭州,4天/周,4个月
（实习）文案记者,100-150/天,深圳,5天/周,4个月
新媒体运营实习生,150-200/天,杭州,4天/周,5个月
JAVA 实习开发工程师,200-250/天,"杭州,上海,成都",4天/周,12个月
C++开发工程师,150-200/天,广州,6天/周,4个月
现场监理助理,100-150/天,北京,3天/周,4个月
软件测试工程师,100-150/天,杭州,4天/周,4个月
研发工程师JAVA校招（实习）,250-300/天,"深圳,杭州",4天/周,3个月
手机病毒分析师,100-150/天,北京,5天/周,4个月
Software Test Engineering（AI方向）,100-150/天,苏州,2天/周,6个月
中文类专业电子教辅资料编辑,100-150/天,北京,1天/周,4个月
GIS算法工程师,250-300/天,广州,5天/周,10个月
运营实习生（文案方向）,150-200/天,北京,4天/周,4个月
海外设计实习生,面议,北京,5天/周,4个月
数据运营实习生,150-200/天,北京,5天/周,4个月
角色原画实习生,100-150/天,上海,5天/周,7个月
UI设计实习生,150-200/天,深圳,4天/周,4个月
机器学习实习生,150-200/天,北京,5天/周,4个月
企划实习生,150-200/天,深圳,5天/周,4个月
运营实习生（文案方向）,150-200/天,北京,5天/周,4个月
新闻审核实习生,80-90/天,西安,5天/周,3个月
游戏运营实习生,100-150/天,广州,3天/周,4个月
车载网络工程师,200-250/天,北京,3天/周,6个月
2019校招|Azure技术支持工程师（.net）,100-150/天,无锡,5天/周,4个月
设计部实习生,100-150/天,北京,5天/周,12个月
微软数据标注实习生（意大利语）,面议,北京,5天/周,4个月
无线开发实习生（IoT& Andriod 方向）,200-250/天,杭州,5天/周,12个月
后台开发工程师,面议,北京,4天/周,5个月
游戏运营,100-150/天,北京,5天/周,6个月
Software Engineer,150-200/天,上海,3天/周,6个月
UI设计师,100-150/天,北京,5天/周,4个月
技术编辑/技术编辑实习生,150-200/天,深圳,5天/周,6个月
网络安全工程师,100-150/天,成都,5天/周,3个月
用户增长组-社区运营实习生,100-150/天,北京,4天/周,4个月
应届生储备运营经理助理,200-250/天,北京,6天/周,12个月
平面设计实习生,150-200/天,上海,4天/周,4个月
内容运营实习生,100-150/天,北京,5天/周,3个月
设计实习,120-180/天,上海,5天/周,4个月
运维开发工程师,100-150/天,杭州,5天/周,4个月
设计助理,50-100/天,杭州,5天/周,10个月
总裁办实习生,150-200/天,北京,5天/周,6个月
算法ULP研发工程师,150-200/天,北京,5天/周,7个月
平面设计实习生,150-200/天,北京,3天/周,7个月
内容编辑实习生,50-100/天,深圳,3天/周,4个月
运营专员,100-150/天,武汉,6天/周,12个月
运营实习生,150-200/天,北京,4天/周,4个月
社区及新媒体运营,100-150/天,北京,5天/周,4个月
平面设计实习生,100-150/天,上海,3天/周,10个月
新媒体运营实习生,100-150/天,深圳,4天/周,6个月
IT互联网行业Consultant实习生,100-150/天,上海,4天/周,4个月
审核实习生,100-150/天,承德,5天/周,4个月
电子教材编辑,100-150/天,北京,1天/周,4个月
策划实习生,100-150/天,北京,5天/周,4个月
搜狗语音交互技术中心-新闻传媒方向产品实习生 (MJ002961),150-200/天,北京,4天/周,6个月
运营实习生/网络营销实习生,100-150/天,天津,1天/周,4个月
谷歌广告优化师/搜索引擎优化师/优化推广,50-100/天,中山,5天/周,6个月
市场部实习生,100-150/天,北京,3天/周,4个月
Node实习生,100-150/天,南京,5天/周,11个月
合同管理实习生,100-150/天,北京,4天/周,4个月
软件开发工程师,150-200/天,北京,5天/周,4个月
游戏UI实习生,面议,成都,5天/周,5个月
视觉设计实习生,200-250/天,北京,5天/周,4个月
新媒体运营实习生,100-150/天,广州,4天/周,7个月
内容电商运营,100-150/天,北京,5天/周,5个月
计算机类编辑实习,面议,北京,5天/周,4个月
新媒体运营,面议,北京,5天/周,3个月
新媒体编辑运营实习生,100-150/天,北京,5天/周,6个月
新媒体运营,100-150/天,上海,5天/周,4个月
新媒体运营实习生,100-150/天,北京,3天/周,4个月
原画实习生,100-150/天,成都,5天/周,5个月
游戏运营实习生,面议,北京,4天/周,4个月
数据审核分析专员,100-150/天,西安,5天/周,4个月
运营实习生,100-150/天,深圳,4天/周,3个月
网页前后台实习,50-100/天,郑州,3天/周,3个月
运维工程师,100-150/天,上海,5天/周,11个月
测试开发实习生,300-400/天,北京,4天/周,6个月
品类运营实习生,100-150/天,北京,5天/周,4个月
管培生,面议,南昌,6天/周,4个月
视觉设计实习生,80-120/天,北京,5天/周,4个月
文案策划,100-150/天,成都,5天/周,4个月
策划编辑专员,100-150/天,成都,5天/周,3个月
新媒体运营实习生,100-150/天,上海,4天/周,6个月
网络工程师,100-150/天,上海,5天/周,6个月
一堂渠道实习生,面议,北京,3天/周,4个月
销售专员,150-200/天,北京,6天/周,11个月
产品实习生,150-200/天,上海,4天/周,6个月
电商平台运营文案编辑,100-150/天,南京,3天/周,4个月
市场运营专员（校招）,100-150/天,广州,5天/周,10个月
运营实习生,面议,北京,5天/周,4个月
SEO优化推广/网站编辑/文案策划（新媒体运营）,200-250/天,郑州,5天/周,4个月
新媒体运营,150-200/天,杭州,5天/周,10个月
内容核查实习生,50-100/天,西安,5天/周,5个月
Web前端开发实习生VUE方向,150-300/天,北京,5天/周,6个月
前端开发实习生,300-400/天,北京,3天/周,8个月
短视频运营实习生,50-100/天,武汉,4天/周,6个月
产品运营助理,150-200/天,北京,5天/周,5个月
用户研究实习生,150-200/天,上海,4天/周,4个月
2019校招|微软产品技术支持,100-150/天,无锡,5天/周,4个月
办公室项目助理,100-150/天,西安,5天/周,4个月
社群运营,100-150/天,北京,5天/周,3个月
实习生（培训）,100-150/天,杭州,3天/周,3个月
培训实习生,100-150/天,北京,4天/周,7个月
系统维护工程师,面议,成都,5天/周,4个月
运营实习,100-150/天,杭州,5天/周,4个月
新媒体文案编辑,100-150/天,周口,6天/周,4个月
算法实习生,400-500/天,北京,2天/周,12个月
计算机视觉算法工程实习师（ocr）,200-250/天,上海,4天/周,6个月
计算机视觉算法工程师（ocr）,200-250/天,上海,5天/周,6个月
2020年毕业测试实习生,150-200/天,杭州,4天/周,12个月
科技新媒体运营,150-200/天,北京,5天/周,4个月
艺术顾问,150-200/天,深圳,5天/周,4个月
QQ音乐欧美内容运营实习生,100-150/天,北京,5天/周,5个月
嵌入式实习生,100-150/天,福州,3天/周,4个月
android实习生,200-250/天,上海,4天/周,4个月
新浪军事内容运营,100-150/天,北京,5天/周,4个月
3D建模师,100-200/天,北京,5天/周,13个月
对日cobol实习生,50-100/天,大连,5天/周,1个月
竞价专员,100-150/天,西安,6天/周,12个月
设计实习生（2020届毕业生）,100-150/天,上海,5天/周,10个月
平面设计,50-100/天,沈阳,4天/周,4个月
直播运营专员,250-300/天,上海,5天/周,4个月
医疗软件实施工程师,100-150/天,北京,4天/周,5个月
新媒体运营实习生,100-150/天,南京,6天/周,12个月
电话客服（售前）,200-250/天,武汉,5天/周,4个月
搜索引擎营销（SEM）实习生,面议,上海,4天/周,4个月
咨询顾问/需求分析师,1-2/天,北京,5天/周,12个月
管培生（房产销售方向）,100-150/天,成都,6天/周,9个月
贝壳网内容运营,面议,成都,5天/周,5个月
网站维护客服,200-250/天,郑州,5天/周,4个月
内容运营实习生,150-200/天,杭州,3天/周,4个月
病毒分析师,150-200/天,南京,4天/周,6个月
测试实习生,150-200/天,北京,3天/周,4个月
seo编辑实习生,面议,北京,4天/周,4个月
游戏推广实习生,150-300/天,南昌,6天/周,7个月
内容编辑,100-150/天,北京,4天/周,4个月
社区内容更新编辑（实习生）,100-150/天,广州,3天/周,9个月
平面设计（实习生）,100-150/天,上海,5天/周,4个月
ios开发实习生,1-2/天,北京,5天/周,8个月
游戏直播运营实习生,100-150/天,广州,5天/周,4个月
C++开发工程师,100-150/天,杭州,4天/周,5个月
系统管理员,100-150/天,北京,4天/周,13个月
社群运营实习生,100-150/天,北京,4天/周,4个月
软件测试实习生,100-150/天,成都,5天/周,11个月
美工/平面设计实习生,面议,上海,4天/周,5个月
安全研究员,150-200/天,北京,4天/周,8个月
Python研发工程师,面议,北京,5天/周,4个月
市场部设计助理,100-150/天,上海,5天/周,5个月
新媒体运营实习生,150-200/天,全国,6天/周,10个月
游戏运营,面议,北京,4天/周,6个月
用户运营实习生,100-120/天,北京,4天/周,11个月
新媒体运营编辑,90-120/天,北京,5天/周,12个月
开发测试工程师,100-150/天,西安,5天/周,4个月
算法工程师（多传感器融合）,250-300/天,广州,5天/周,10个月
化学专业图书编辑,120-150/天,北京,2天/周,3个月
新媒体编辑,90-110/天,上海,5天/周,6个月
视频剪辑,100-120/天,北京,5天/周,12个月
新闻/编辑出版专业实习生,125-150/天,北京,2天/周,3个月
产品运营实习生,150-200/天,北京,5天/周,12个月
新媒体运营（热爱摄影）,100-150/天,广州,5天/周,4个月
泡泡社区 用户运营实习生（电视剧方向）,150-200/天,北京,5天/周,7个月
社群运营实习生,200-250/天,上海,5天/周,9个月
游戏互动专员实习生,100-150/天,广州,6天/周,4个月
运营实习生（成都）,100-150/天,成都,4天/周,4个月
日语内容运营实习生,100-150/天,北京,5天/周,4个月
新媒体运营实习生,150-200/天,上海,4天/周,4个月
美工实习生,100-150/天,北京,6天/周,12个月
大数据开发实习生,100-150/天,广州,5天/周,6个月
新媒体运营实习生,150-200/天,北京,4天/周,8个月
IT Intern,160-161/天,上海,5天/周,6个月
iOS开发工程师/实习生,100-150/天,南京,3天/周,3个月
网站文字编辑/SEO编辑,100-150/天,上海,4天/周,4个月
Android开发实习,150-200/天,上海,4天/周,3个月
摄影编辑,100-200/天,广州,3天/周,3个月
新媒体编辑实习生,100-150/天,上海,3天/周,4个月
创意策划实习生,100-150/天,北京,4天/周,4个月
网络编辑,100-150/天,北京,5天/周,4个月
红人运营,100-150/天,北京,5天/周,5个月
证券实习生,面议,北京,5天/周,4个月
新媒体运营（实习）,100-150/天,上海,5天/周,5个月
印刷排版/制版实习生,100-150/天,北京,6天/周,4个月
Java研发工程师实习,250-300/天,"上海,成都,杭州",4天/周,6个月
标注实习生,150-200/天,苏州,5天/周,4个月
平台治理岗,面议,北京,5天/周,5个月
美工,100-150/天,深圳,2天/周,5个月
内容运营实习生,100-150/天,北京,5天/周,7个月
用户运营实习生,100-150/天,杭州,5天/周,4个月
思政/马原编辑实习生,100-150/天,北京,2天/周,4个月
泡泡社区/用户运营实习生（电视剧情感方向）,150-200/天,北京,5天/周,5个月
新媒体运营,150-200/天,北京,5天/周,11个月
新媒体在线课程研发实习生,50-100/天,广州,3天/周,7个月
市场与新媒体运营,100-150/天,上海,3天/周,6个月
后台媒体实习生,50-100/天,青岛,4天/周,4个月
工程类编辑实习生,100-150/天,北京,2天/周,4个月
C++工程师（实习生）,100-150/天,上海,5天/周,11个月
售前咨询,200-400/天,武汉,5天/周,6个月
项目管理实习生,100-150/天,广州,3天/周,4个月
运营实习生,100-150/天,北京,4天/周,10个月
游戏运营策划助理,150-200/天,北京,5天/周,6个月
实施顾问,100-150/天,合肥,5天/周,12个月
采购助理,面议,广州,5天/周,10个月
电商设计师,200-250/天,北京,3天/周,4个月
3D设计师,100-150/天,成都,5天/周,4个月
Front-End Engineer Intern,150-200/天,上海,3天/周,6个月
文案编辑实习生,100-150/天,武汉,5天/周,4个月
研发工程师,100-150/天,桂林,5天/周,5个月
插画师/原画师,50-100/天,苏州,4天/周,4个月
新媒体运营实习生,90-100/天,广州,5天/周,3个月
资质审核岗实习生,100-150/天,北京,4天/周,11个月
产品实习生,100-150/天,北京,5天/周,4个月
平面设计/美工（音乐文旅产业）,100-150/天,北京,5天/周,9个月
天猫淘宝运营专员/助理,500-800/天,上海,5天/周,4个月
门店助理,150-200/天,成都,6天/周,4个月
运营专员,100-150/天,上海,5天/周,4个月
采购实习,100-150/天,上海,4天/周,4个月
PHP开发工程师,50-100/天,广州,4天/周,5个月
平面实习生,100-150/天,广州,3天/周,10个月
运营实习生,面议,北京,4天/周,4个月
文案策划,150-200/天,北京,5天/周,11个月
视频制作实习生,50-100/天,广州,5天/周,11个月
管理类实习生,122-150/天,北京,2天/周,2个月
软件测试工程师实习生,100-150/天,北京,5天/周,12个月
新媒体运营专员,250-300/天,上海,5天/周,4个月
OpenStack SDN网络研发工程师,100-130/天,无锡,5天/周,13个月
互联网旅游计调实习生,50-100/天,成都,5天/周,4个月
公众号文案运营,100-101/天,全国,2天/周,4个月
课程研发总监助理,80-120/天,广州,3天/周,4个月
产品设计师,100-150/天,北京,5天/周,8个月
产品经理,100-150/天,杭州,5天/周,4个月
产品运营实习生,150-200/天,北京,5天/周,3个月
EMC易安信中国卓越研发中心实习生,100-150/天,上海,3天/周,12个月
时尚商品编辑实习生,100-150/天,北京,4天/周,4个月
产品运营,100-150/天,深圳,5天/周,4个月
云存储/云计算产品助理,150-200/天,北京,4天/周,4个月
新媒体校园大使,1-50/天,长沙,2天/周,6个月
软件开发实习生,100-150/天,深圳,5天/周,4个月
美工手绘设计助理,50-100/天,天津,5天/周,10个月
软件实施工程师（实习生）,100-150/天,成都,5天/周,5个月
新媒体实习生,100-150/天,北京,4天/周,4个月
运营实习生,150-200/天,上海,4天/周,4个月
C/C++软件开发工程师,300-400/天,广州,5天/周,10个月
大数据开发实习生,150-200/天,北京,4天/周,5个月
业务实习生,100-150/天,成都,6天/周,3个月
新媒体公众号实习生,1-50/天,上海,3天/周,9个月
IT运维实习生,100-150/天,北京,5天/周,5个月
文史类编辑实习生,100-150/天,北京,2天/周,4个月
Imaging Algorithm Intern,150-200/天,上海,3天/周,8个月
打印技术实习生,100-150/天,北京,6天/周,4个月
排课实习生,100-150/天,北京,4天/周,3个月
产品管理实习生,100-150/天,深圳,5天/周,5个月
音频后期实习生,100-150/天,重庆,4天/周,8个月
业务运营实习生,100-150/天,广州,5天/周,5个月
UI设计实习,150-200/天,上海,4天/周,3个月
数据分析员,100-150/天,北京,5天/周,4个月
医学专业编辑实习生,100-150/天,北京,2天/周,3个月
产品助理,100-150/天,北京,4天/周,4个月
葡萄牙语实习生,100-150/天,北京,3天/周,3个月
平面设计师,100-150/天,上海,5天/周,4个月
实习运营实习生,100-150/天,北京,5天/周,12个月
编辑助理（计算机专业）,100-150/天,北京,2天/周,3个月
设计实习生,100-150/天,上海,4天/周,4个月
设计岗实习生,100-150/天,北京,5天/周,10个月
创新工场AI工程院医疗Lab-Unity3D开发工程师实习生,200-250/天,北京,3天/周,5个月
UI设计实习生,150-200/天,北京,5天/周,7个月
社群运营实习生,100-150/天,杭州,4天/周,4个月
达人运营实习生,100-150/天,上海,5天/周,4个月
Node.js实习生,200-250/天,北京,3天/周,7个月
海外游戏客服,100-150/天,深圳,5天/周,12个月
Java开发,100-180/天,上海,5天/周,13个月
电力电路相关专业电子书编辑实习,100-150/天,北京,1天/周,4个月
编辑实习生,100-150/天,广州,5天/周,10个月
网页设计实习生,200-250/天,北京,3天/周,3个月
UI实习生,200-250/天,北京,5天/周,4个月
品牌策划设计专员,100-150/天,广州,3天/周,4个月
法学类编辑,300-400/天,北京,2天/周,3个月
市场技术创业合伙人,80-160/天,上海,3天/周,3个月
设计实习生,面议,北京,5天/周,7个月
新媒体编辑,100-150/天,北京,5天/周,4个月
